Data;Categorie;Costo
23/09/2022;Cibo;33
23/09/2022;Cena fuori;15
17/09/2022;Cibo;51
16/09/2022;Generali;30
15/09/2022;Cibo;13
15/09/2022;Cibo;13
15/09/2022;Casalinghi;46
13/09/2022;Cibo;18
13/09/2022;Generali;6
13/09/2022;Cibo;13
10/09/2022;Cibo;70
08/09/2022;Cibo;25
04/09/2022;Cibo;80
04/09/2022;Cena fuori;17
18/08/2022;Cena fuori;35
18/08/2022;Cena fuori;44
07/08/2022;Generali;32
03/08/2022;Cibo;34
01/08/2022;Cena fuori;63
31/07/2022;Cena fuori;22
29/07/2022;Cena fuori;30
27/07/2022;Cena fuori;15
26/07/2022;Cibo;30
25/07/2022;Cibo;40
24/07/2022;Cena fuori;21
22/07/2022;Cena fuori;16
17/07/2022;Cena fuori;32
17/07/2022;Cibo;36
14/07/2022;Cena fuori;16
14/07/2022;Cibo;16
13/07/2022;Cibo;10
12/07/2022;Cena fuori;12
12/07/2022;Cibo;31
08/07/2022;Cibo;21
08/07/2022;Cibo;20
07/07/2022;Cena fuori;12
07/07/2022;cibo;7
04/07/2022;Cibo;60
01/07/2022;Generali;35,85
29/06/2022;Cibo;37
29/06/2022;Cibo;22
28/06/2022;Cibo;7
27/06/2022;Cibo;20
26/06/2022;Cena fuori;15
26/06/2022;Cibo;36
26/06/2022;Cena fuori;7,3
26/06/2022;Cena fuori;10
20/06/2022;Cena fuori;43
20/06/2022;Generali;27
19/06/2022;Cibo;28
15/06/2022;Cibo;10
15/06/2022;Cibo;40
12/06/2022;Cena fuori;15
10/06/2022;Cibo;26
07/06/2022;Generali;19
06/06/2022;Regali;10
05/06/2022;Cena fuori;20
05/06/2022;Cibo;17
04/06/2022;Cibo;16
04/06/2022;Cibo;21
03/06/2022;Cena fuori;55
03/06/2022;Cena fuori;12
01/06/2022;Cena fuori;5
01/06/2022;Cibo;21,5
01/06/2022;Cibo;69
28/05/2022;Casalinghi;33
27/05/2022;Generali;7
27/05/2022;Cibo;23
25/05/2022;Cibo;34
24/05/2022;Cibo;70
23/05/2022;Viaggio;30
22/05/2022;Cena fuori;14,5
19/05/2022;Cibo;20
19/05/2022;Cibo;24
16/05/2022;Cibo;26
14/05/2022;Cena fuori;6
