Data;Categorie;Costo;mese;anno
23/09/2022;Cibo;33;09;2022
23/09/2022;Cena fuori;15;09;2022
17/09/2022;Cibo;51;09;2022
16/09/2022;Generali;30;09;2022
15/09/2022;Cibo;13;09;2022
15/09/2022;Cibo;13;09;2022
15/09/2022;Casalinghi;46;09;2022
13/09/2022;Cibo;18;09;2022
13/09/2022;Generali;6;09;2022
13/09/2022;Cibo;13;09;2022
10/09/2022;Cibo;70;09;2022
08/09/2022;Cibo;25;09;2022
04/09/2022;Cibo;80;09;2022
04/09/2022;Cena fuori;17;09;2022
18/08/2022;Cena fuori;35;08;2022
18/08/2022;Cena fuori;44;08;2022
07/08/2022;Generali;32;08;2022
03/08/2022;Cibo;34;08;2022
01/08/2022;Cena fuori;63;08;2022
31/07/2022;Cena fuori;22;07;2022
29/07/2022;Cena fuori;30;07;2022
27/07/2022;Cena fuori;15;07;2022
26/07/2022;Cibo;30;07;2022
25/07/2022;Cibo;40;07;2022
24/07/2022;Cena fuori;21;07;2022
22/07/2022;Cena fuori;16;07;2022
17/07/2022;Cena fuori;32;07;2022
17/07/2022;Cibo;36;07;2022
14/07/2022;Cena fuori;16;07;2022
14/07/2022;Cibo;16;07;2022
13/07/2022;Cibo;10;07;2022
12/07/2022;Cena fuori;12;07;2022
12/07/2022;Cibo;31;07;2022
08/07/2022;Cibo;21;07;2022
08/07/2022;Cibo;20;07;2022
07/07/2022;Cena fuori;12;07;2022
07/07/2022;cibo;7;07;2022
04/07/2022;Cibo;60;07;2022
01/07/2022;Generali;35,85;07;2022
29/06/2022;Cibo;37;06;2022
29/06/2022;Cibo;22;06;2022
28/06/2022;Cibo;7;06;2022
27/06/2022;Cibo;20;06;2022
26/06/2022;Cena fuori;15;06;2022
26/06/2022;Cibo;36;06;2022
26/06/2022;Cena fuori;7,3;06;2022
26/06/2022;Cena fuori;10;06;2022
20/06/2022;Cena fuori;43;06;2022
20/06/2022;Generali;27;06;2022
19/06/2022;Cibo;28;06;2022
15/06/2022;Cibo;10;06;2022
15/06/2022;Cibo;40;06;2022
12/06/2022;Cena fuori;15;06;2022
10/06/2022;Cibo;26;06;2022
07/06/2022;Generali;19;06;2022
06/06/2022;Regali;10;06;2022
05/06/2022;Cena fuori;20;06;2022
05/06/2022;Cibo;17;06;2022
04/06/2022;Cibo;16;06;2022
04/06/2022;Cibo;21;06;2022
03/06/2022;Cena fuori;55;06;2022
03/06/2022;Cena fuori;12;06;2022
01/06/2022;Cena fuori;5;06;2022
01/06/2022;Cibo;21,5;06;2022
01/06/2022;Cibo;69;06;2022
28/05/2022;Casalinghi;33;05;2022
27/05/2022;Generali;7;05;2022
27/05/2022;Cibo;23;05;2022
25/05/2022;Cibo;34;05;2022
24/05/2022;Cibo;70;05;2022
23/05/2022;Viaggio;30;05;2022
22/05/2022;Cena fuori;14,5;05;2022
19/05/2022;Cibo;20;05;2022
19/05/2022;Cibo;24;05;2022
16/05/2022;Cibo;26;05;2022
14/05/2022;Cena fuori;6;05;2022
14/05/2022;Cena fuori;26;05;2022
13/05/2022;Cibo;14;05;2022
09/05/2022;Cibo;60;05;2022
09/05/2022;Cibo;21;05;2022
03/05/2022;Pagamento;265,75;05;2022
01/05/2022;Cibo;34;05;2022
01/05/2022;Cibo;6;05;2022
30/04/2022;Cibo;10;04;2022
29/04/2022;Casalinghi;13;04;2022
29/04/2022;Cibo;46;04;2022
29/04/2022;Cena fuori;7;04;2022
25/04/2022;Cibo;16;04;2022
23/04/2022;Cena fuori;23;04;2022
23/04/2022;Cena fuori;7;04;2022
22/04/2022;Cibo;65;04;2022
22/04/2022;Cibo;36;04;2022
21/04/2022;Cena fuori;14;04;2022
14/04/2022;Cibo;15;04;2022
14/04/2022;Cibo;30;04;2022
13/04/2022;Cena fuori;22;04;2022
11/04/2022;Generali;30;04;2022
10/04/2022;Cena fuori;20;04;2022
09/04/2022;Cena fuori;26;04;2022
08/04/2022;Cena fuori;20;04;2022
08/04/2022;Cena fuori;15;04;2022
05/04/2022;Regali;10;04;2022
05/04/2022;Cibo;20;04;2022
28/03/2022;Cibo;23;03;2022
25/03/2022;Cibo;11;03;2022
